"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","732","Realizar Login sem informar a senha","","Tue Aug 19 18:23:40 BRT 2025","passed","Tue Aug 19 18:23:41 BRT 2025","","Realizar Login","Realizar Login","Realizar Login sem informar a senha"
"","11831","Realizar Cadastro","","Wed Aug 20 23:08:01 BRT 2025","passed","Wed Aug 20 23:08:13 BRT 2025","","Fluxos","Fluxos","Realizar Cadastro"
"","26396","Realizar compra com sucesso","","Wed Aug 20 23:08:43 BRT 2025","passed","Wed Aug 20 23:09:09 BRT 2025","","Fluxos","Fluxos","Realizar compra com sucesso"
"","672","Realizar Login sem informar o usuario","","Tue Aug 19 18:23:41 BRT 2025","passed","Tue Aug 19 18:23:42 BRT 2025","","Realizar Login","Realizar Login","Realizar Login sem informar o usuario"
"","14087","Realizar Cadastro de usuario/email já existente","","Wed Aug 20 23:08:13 BRT 2025","passed","Wed Aug 20 23:08:27 BRT 2025","","Fluxos","Fluxos","Realizar Cadastro de usuario/email já existente"
"","15765","Realizar Login com sucesso","","Wed Aug 20 23:08:27 BRT 2025","passed","Wed Aug 20 23:08:43 BRT 2025","","Fluxos","Fluxos","Realizar Login com sucesso"
"","3017","Realizar Login com sucesso","","Tue Aug 19 18:23:37 BRT 2025","passed","Tue Aug 19 18:23:40 BRT 2025","","Realizar Login","Realizar Login","Realizar Login com sucesso"
"","1492","Realizar Login sem informar o usuario","","Wed Aug 20 23:07:59 BRT 2025","passed","Wed Aug 20 23:08:01 BRT 2025","","Fluxos","Fluxos","Realizar Login sem informar o usuario"
"","3176","Realizar Login sem informar a senha","","Wed Aug 20 23:07:56 BRT 2025","passed","Wed Aug 20 23:07:59 BRT 2025","","Fluxos","Fluxos","Realizar Login sem informar a senha"
"","561","Realizar compra com sucesso","","Tue Aug 19 18:23:42 BRT 2025","broken","Tue Aug 19 18:23:42 BRT 2025","","Realizar Login","Realizar Login","Realizar compra com sucesso"
